阿尔河	aar(n.);
水虫息	polyp(n.)|polypus(n.);
鼻肉	polyp(n.);
鼻息肉	polyp(n.);
多食症	polyphagia(n.)|polyphagous(adj.);
杂食性	polyphagia(n.);
杂食症	polyphagous(adj.);
多相	polyphase(adj.)|polyphase(n.);
多音字	polyphone(n.);
多音	polyphonic(adj.)|polyphony(n.);
多响	polyphony(n.);
倍数体	polyploid(adj.);
聚丙烯	polypropylene(n.);
息肉	polypus(n.);
多旋律	polyrhythm(n.);
多神教	polytheism(n.);
多神论	polytheism(n.);
多调性	polytonality(n.);
多价	polyvalent(adj.);
苹果渣	pomace(n.);
鱼渣	pomace(n.);
香丸	pomander(n.);
梨果	pome(n.);
石榴	pomegranate(n.);
柚子	pomelo(n.);
柄端	pommel(n.);
鞍头	pommel(n.);
前鞍	pommel(n.);
盛观	pomp(n.);
彩球	pompon(n.);
毛章	pompon(n.);
池塘	pond(n.)|tank(n.);
贮水量	pondage(n.);
可秤性	ponderability(n.);
有重	ponderability(n.);
极重	ponderosity(n.);
沈重	ponderosity(n.)|ponderous(adj.)|ponderous(adj.)|weightily(adv.)|weightiness(n.);
眼子菜	pondweed(n.);
恶臬	pong(n.)|stench(n.);
茧绸	pongee(n.);
教宗	pontificate(n.);
桥脑	pontine(adj.);
跳桥	pontlevis(n.);
马尾巴	ponytail(n.);
狮子狗	poodle(n.);
剪毛	poodle(v.);
水塘	pool(n.);
撞球	pool(n.);
台球场	poolroom(n.);
胡桐	poon(n.);
舵楼	poop(n.);
船尾	poop(n.);
穷人	poor(n.)|prole(n.);
取出	pop(n.);
砰然声	pop(n.)|slam(n.);
爆米花	popcorn(n.);
爆谷	popcorn(n.);
波沛	popeye(n.);
白扬	poplar(n.);
白扬木	poplar(n.);
白杨木	poplar(n.);
毛葛	poplin(n.);
乖孩子	poppet(n.);
荡漾	popple(v.);
涟漪	popple(n.)|riffle(n.)|ripple(n.);
罂粟	poppy(n.);
深红色	poppy(n.)|ruby(n.)|scarlet(n.);
冰棒	popsicle(n.);
大众	populace(n.)|population(n.);
通俗化	popularization(n.);
平易化	popularization(n.);
平易	popularly(adv.);
居住在	populate(v.);
人口	population(n.);
人口数	population(n.);
跃上型	popup(n.);
跳上	popup(adj.);
跃上	popup(adj.);
青鱼交	porbeagle(n.);
磁器	porcelain(n.)|stoneware(n.);
玄关	porch(n.)|vestibule(n.);
猪的	porcine(adj.)|porky(adj.)|swinish(adj.);
豪猪	porcupine(n.);
毛孔	pore(n.);
熟视	pore(v.);
细想	pore(v.);
棘鬣鱼	porgy(n.);
有孔	poriferous(adj.);
多孔	poriferous(adj.)|porous(adj.);
猪肉	pork(n.);
食用猪	porker(n.);
肥小猪	porker(n.);
猪肉饼	porkpie(n.);
多孔性	porosity(n.);
有孔性	porosity(n.);
气孔率	porosity(n.);
斑岩	porphyritic(adj.)|porphyry(n.);
小鲸	porpoise(n.);
粥	porridge(n.);
稀饭	porridge(n.);
粥碗	porringer(n.);
港口	port(n.);
埠	port(n.);
舱门	port(n.);
可携带	portability(n.);
可携性	portability(n.);
门的	portal(adj.);
门形	portal(adj.);
滑音	portamento(n.);
蜡笔夹	portcrayon(n.);
门房	porter(n.);
挑夫	porter(n.);
皮包	portfolio(n.);
舷窗	porthole(n.);
装货口	porthole(n.);
炮门	porthole(n.);
波西亚	portia(n.);
份	portion(n.);
肥大	portliness(n.);
威风	portliness(n.);
人像	portrait(n.);
副手	portreeve(n.);
女门房	portress(n.);
葡萄牙	portugal(n.);
姿态	pose(n.);
海神	poseidon(n.)|proteus(n.)|seagod(n.);
正阻器	posistor(n.);
断定	posit(v.)|predication(n.)|tell(v.)|told(v.);
定位	positioning(n.);
正数值	positive(n.);
一队	posse(n.);
警卫队	posse(n.);
领土	possession(n.)|realm(n.)|territory(n.);
所有格	possessive(n.);
持有人	possessor(n.);
或者	possibly(adv.);
标竿	post(n.);
邮递	post(v.);
邮资	postage(n.);
邮局	postal(adj.);
明信片	postcard(n.);
後编辑	postedit(n.);
後部	posterior(n.)|rearward(n.)|retral(adj.)|tail(n.);
後天性	posteriority(n.);
便门	postern(n.);
旁门	postern(n.);
特快	posthaste(n.)|posthaste(adj.);
译舍	posthouse(n.);
死後	posthumous(adj.)|postmortem(adj.);
後奏曲	postlude(n.);
终曲	postlude(n.);
邮差	postman(n.)|postmen(n.);
邮戳	postmark(n.);
盖邮戳	postmark(v.);
鼻後	postnasal(adj.);
後鼻	postnasal(adj.);
产後	postpartum(adj.);
缓辨	postpone(vt.);
搁延	postpone(vt.);
缓办	postponed(v.);
後置	postposition(n.);
後置词	postposition(n.);
附启	postscript(n.);
但书	postscript(n.)|proviso(n.);
封装	postting(n.);
志愿者	postulant(n.)|volunteer(n.);
假定者	postulator(n.);
请愿者	postulator(n.)|suitor(n.);
战後	postwar(adj.);
盆	pot(n.);
壶	pot(n.);
饮酒	potation(n.)|potatory(adj.);
马铃薯	potato(n.);
小人物	potatoes，small(n.);
潜在性	potential(n.);
电位	potential(n.);
可能力	potentiality(n.);
潜在力	potentiality(n.);
电位计	potentiometer(n.);
分压计	potentiometer(n.);
电压计	potentiometer(n.);
喧扰	pother(n.)|rackety(adj.);
使困扰	pother(v.);
壶洞	pothole(n.);
锅钩	pothook(n.);
挂钩	pothook(n.);
一剂	potion(n.);
冬节	potlatch(n.);
便饭	potluck(n.);
花香	potpourri(n.);
杂香	potpourri(n.);
混杂物	potpourri(n.);
炖菜	pottage(n.);
浓汤	pottage(n.);
盆栽	potted(adj.);
陶工	potter(n.);
陶匠	potter(n.);
陶艺家	potter(n.);
陶器场	pottery(n.);
小袋	pouch(n.);
小包	pouch(n.);
眼袋	pouch(n.);
袋形	pouched(adj.);
有袋	pouched(adj.);
幼禽	poult(n.);
家禽贩	poulterer(n.);
鸟贩	poulterer(n.);
敷糊药	poultice(v.);
攫住	pounce(v.);
磅	pound(n.);
兽栏	pound(n.);
手续费	poundage(n.);
佣钱	poundage(n.);
倾泻	pour(n.)|pour(v.);
倒	pour(v.);
夹衣	pourpoint(n.);
饭後酒	poussecafe(n.);
噘嘴	pout(n.)|pout(v.);
绷脸	pout(v.);
翘嘴	pouty(adj.);
粉未	powder(n.);
搽粉於	powder(v.);
搽粉	powder(v.);
粉的	powdery(adj.);
鲍威尔	powell(n.);
力量	power(n.)|strength(n.);
机动船	powerboat(n.);
发电所	powerhouse(n.);
动力室	powerhouse(n.);
无权	powerless(adj.);
巫师	powwow(n.);
能用	practicably(adv.);
实习	practice(v.);
开业	practice(v.);
从业者	practitioner(n.);
农地	praedial(adj.);
级长	praepostor(n.);
指导生	praepostor(n.);
语用论	pragmatics(n.);
实际化	pragmatize(v.);
布拉格	prague(n.);
大草原	prairie(n.)|savanna(n.);
婴儿车	pram(n.);
膳食	prandial(adj.);
猛炸	prang(n.);
盛装	prank(v.)|topdress(v.);
金普	praseodymium(n.);
真理报	pravda(n.);
明虾	prawn(n.);
大虾	prawn(n.);
捕明虾	prawn(v.);
祈祷者	prayer(n.)|supplicator(n.);
之前	pre(preft.);
传道	preach(v.)|propagandist(adj.)|propagandize(v.);
传道者	preacher(n.)|propagandist(n.);
讲道者	preacher(n.)|pulpiteer(n.);
讲道法	preaching(n.);
前文	preamble(n.);
序文	preamble(n.)|preface(n.)|prefatory(adj.)|proem(n.);
前言	preamble(n.)|preface(n.)|prefatory(adj.);
先述权	preaudience(n.);
受俸	prebendal(adj.);
受俸者	prebendary(n.);
预烧	preburning(n.);
优先	precedence(n.)|precession(n.)|preference(n.)|preferential(adj.);
先例	precedent(n.);
领唱人	precentor(n.);
训诫	precept(n.)|sermon(n.);
女教师	preceptress(n.)|schoolmarm(n.)|schoolmistress(n.);
岁差	precession(n.);
选区	precinct(n.);
管理区	precinct(n.);
宝贵	precious(adj.);
绝壁	precipice(n.);
险境	precipice(n.);
沉淀剂	precipitant(n.);
沈淀物	precipitate(n.)|sediment(n.);
沈淀素	precipitin(n.);
陡立	precipitous(adj.);
集尘机	precipitron(n.);
选粹	precis(n.);
精确	precise(adj.)|precision(n.);
严谨	precise(adj.);
精确度	precision(n.);
早开	precocity(n.);
早成	precocity(n.);
先知	precognition(n.)|prophet(n.)|seer(n.);
先进者	precursor(n.);
掠夺者	predator(n.)|reiver(n.)|sacker(n.);
之前死	predecease(n.);
前任	predecessor(n.);
先辈	predecessor(n.)|progenitor(n.);
先定	predeterminate(adj.);
先决	predetermination(n.)|predetermine(v.);
可断定	predicability(n.);
困局	predicament(n.);
断定为	predicate(v.);
意味	predicate(v.);
立言	predication(n.);
述词	predication(n.)|predicative(n.);
叙述语	predicative(n.);
预知	predict(v.)|presage(n.)|prescience(n.)|prescient(adj.)|previse(v.)|prevision(n.)|prognosis(n.)|prognosticate(v.)|prognostication(n.);
袒护	predilection(n.)|sided(v.);
预分离	predissociation(n.);
预失真	predistortion(n.);
预选	preelection(n.);
预强调	preemphasis(n.);
先买	preemption(n.)|preemptive(n.);
先约	preengage(v.);
先在	preexistence(n.);
前世	preexistence(n.);
作序	preface(v.);
写前言	preface(v.);
提督	prefect(n.)|prefectorial(adj.);
县的	prefectural(adj.);
县立	prefectural(adj.);
县长	prefectural(adj.);
任期	prefecture(n.);
县	prefecture(n.);
较喜欢	prefer(v.);
宁爱	prefer(v.);
较好	preferable(adj.)|preferably(adv.);
宁愿	preferably(adv.);
喜爱物	preference(n.);
先取	preferential(adj.)|preoccupation(n.)|preoccupy(v.);
昇迁	preferment(n.);
昇任	preferment(n.);
大官	preferment(n.);
预表	prefiguration(n.)|prefigure(v.);
字首	prefix(n.);
妊娠	pregnancy(n.);
预热器	preheater(n.);
预热	preheating(n.);
史前	prehistoric(n.);
先史学	prehistory(n.);
早点火	preignition(n.);
早火	preignition(n.);
预警	preindication(n.);
偏见	prejudice(n.);
讲课	prelect(v.)|prelection(n.);
试尝	prelibation(n.);
试毒	prelibation(n.);
前奏曲	prelude(n.);
序奏	prelude(n.);
序幕	prelude(n.)|prologue(n.)|prolusion(n.);
开场白	prelude(n.)|prologue(n.)|prolusion(n.);
过早	premature(adj.)|prematurity(n.);
早开花	prematurity(n.);
总理	premier(n.);
首相	premier(n.);
首位	premier(adj.)|primacy(n.);
提论	premise(v.);
预述	premise(v.);
立前提	premises(v.);
小臼齿	premolar(n.);
前臼齿	premolar(n.);
徵兆	premonition(n.)|premonitor(n.)|sympton(n.);
先占领	preoccupy(v.);
先付	prepaid(adj.)|prepay(v.);
调配	prepare(v.);
预缴	prepay(v.);
介系词	preposition(n.);
前置词	prepositive(n.);
前置	prepositive(adj.);
优生	prepotency(n.);
大权	prerogative(n.);
硬纸版	presboard(n.);
老花眼	presbyopia(n.);
远视眼	presbyopia(n.);
长老会	presbytery(n.);
育幼院	preschool(n.);
割离	prescind(v.);
开药方	prescribe(v.);
处方	prescription(n.)|recipe(n.);
预选机	preselector(n.);
宣传	presell(v.)|propaganda(n.)|propagandist(adj.)|propagandize(v.)|publicize(v.);
当面	present(adj.);
赠送	present(v.)|presenter(n.);
中看	presentability(n.);
受赠者	presentee(n.);
呈献者	presenter(n.);
提出者	presenter(n.);
预觉	presentiment(n.);
保留	preserving(v.)|proviso(n.)|reservation(n.)|reserve(v.)|sticking(n.)|withhold(v.);
预击	preshoot(n.);
当主席	preside(v.);
统辖	preside(v.);
当主人	preside(v.);
总统	president(n.)|presidential(adj.);
总裁	president(n.);
董事长	president(n.);
主持者	presider(n.);
主席团	presidium(n.);
压力	press(n.)|pressure(n.);
压入	pressing(n.);
紧迫	pressing(adj.);
切实	pressing(adj.);
压力化	pressurization(n.);
印刷	presswork(n.)|print(v.)|printed(adj.)|printing(n.)|printing(v.)|typographic(adj.);
威信	prestige(n.);
威望	prestige(n.);
预储存	prestore(n.);
预力	prestress(n.);
推测上	presumably(adv.)|presumedly(adv.);
假定上	presumably(adv.);
占便宜	presume(v.);
冒昧	presumptuous(adj.);
伪称	pretend(v.);
冒牌者	pretender(n.);
虚假	pretense(n.);
不过问	pretermission(n.);
怠慢	pretermission(n.)|remiss(adj.);
预行程	pretravel(n.);
预触发	pretrigger(n.);
使漂亮	prettify(v.);
粉饰	prettify(v.)|varnish(v.);
隽永	prettiness(n.);
获胜	prevail(v.);
盛行	prevail(v.);
搪塞	prevarication(n.)|quillet(n.)|tergiversate(v.)|tergiversation(n.);
前的	prevenient(adj.);
妨碍者	preventer(n.);
阻扰者	preventer(n.);
妨碍物	preventer(n.);
防止物	preventive(n.);
早先	previous(adj.)|previous(adv.);
过急	previous(adj.);
概说	prevue(n.);
战前	prewar(adj.);
订价	pricing(adj.);
受责备	prick(v.);
扎	prick(n.);
刺的人	pricker(n.);
刺针	pricker(n.)|prod(n.);
多刺	prickly(adj.)|spinous(adj.)|thorny(adj.);
自傲	pride(n.)|prideful(adj.);
尼姑	priestess(n.);
女祭司	priestess(n.);
神职	priesthood(n.);
僧职	priesthood(n.);
祭司职	priesthood(n.);
僧的	priestly(adj.);
矫饰	priggism(n.)|strained(adj.)|twee(adj.);
原	primaries(n.);
入门书	primer(n.);
初期	primeval(adj.)|springtime(n.);
装雷管	priming(n.);
原始人	primitive(n.);
始祖	primogenitor(n.);
樱草类	primrose(n.);
樱草花	primrose(n.);
樱草色	primrose(n.);
樱草	primrose(adj.);
王子	prince(n.)|princely(adj.);
太子	prince(n.);
诸侯	prince(n.);
公主	princess(n.);
王妃	princess(n.)|queen(n.)|ranee(n.);
本金	principal(n.);
原则	principle(n.)|priniple(n.);
支配者	prinipal(n.);
印刷物	print(n.);
印迹	print(n.);
出版	print(v.)|publication(n.)|publish(v.);
印於	print(v.);
印好	printed(adj.);
印表机	printer(n.);
列表机	printer(n.);
列印头	printhead(n.);
印刷术	printing(n.)|typography(n.);
印出	printout(n.);
版画商	printseller(n.);
版画店	printshop(n.);
印刷所	printshop(n.);
优先权	priority(n.);
棱镜	prism(n.);
棱柱	prism(n.);
战俘	prisoner(n.);
求求你	prithee(int.);
隐私	privacy(n.);
隐居	privacy(n.)|retire(n.)|retirement(n.);
私立	private(adj.);
缺如	privation(n.)|privative(adj.);
穷困	privation(n.);
否定字	privative(n.);
否定词	privative(n.);
水蜡树	privet(n.);
暗中	privily(adv.)|surreptitious(adj.);
关系人	privy(n.);
奖	prize(n.);
珍视	prize(v.);
得奖人	prizeman(n.);
盖然论	probabilism(n.);
或然率	probability(n.);
机率	probability(n.);
查验	probation(n.)|prove(v.);
试用	probative(adj.);
探测针	probe(n.);
廉洁	probity(n.);
长嘴	proboscis(n.);
队伍	procession(n.);
处理器	processor(n.);
处理机	processor(n.);
文告	proclamation(n.);
後接词	proclitic(n.);
後接	proclitic(adj.);
癖性	proclivity(n.);
延迟	procrastinate(v.);
生殖	procreate(v.)|procreation(n.)|reproduce(v.)|reproduction(n.)|reproductive(adj.)|seminal(adj.)|spermatic(adj.);
生产者	procreator(n.)|producer(n.)|produerr(n.);
代诉人	proctor(n.);
直肠镜	proctoscope(n.);
平伏	procumbent(adj.)|prostration(n.);
筹得	procuration(n.);
采购	procurement(n.)|stock(v.);
刺棒	prod(n.);
签子	prod(n.);
生产品	produce(n.);
农产品	produce(n.);
制作人	producer(n.);
可生产	producibility(n.);
成绩	product(n.)|result(n.);
生产力	productivity(n.)|prolificacy(n.);
发生炉	produerr(n.);
教授	prof(n.)|professor(n.)|professorial(adj.)|schoolman(n.);
卑俗	profane(adj.)|profane(v.);
表面上	professedly(adv.)|seemingly(pre.);
表白	profession(n.);
提供	proffer(v.)|proffer(n.)|provide(v.)|provided(v.);
提供物	proffer(n.);
精练	proficiency(n.);
高手	proficient(n.)|superior(n.);
利润	profit(n.);
赢利	profit(n.);
收益性	profitability(n.);
利益率	profitability(n.);
不检点	profligacy(n.);
放荡者	profligate(n.)|rakehell(n.)|roue(n.)|squanderer(n.);
享乐者	profligate(n.)|roue(n.);
极深	profound(adj.);
深厚	profound(adj.);
原着	progenitor(n.);
训导长	proggins(n.);
节片	proglottis(n.);
预後	prognosis(n.);
占卜者	prognosticator(n.)|soothsayer(n.);
程式	program(n.);
规划	program(v.);
程式师	programmer(n.);
规画	programming(n.);
级数	progressional(adj.);
放映	project(v.);
发射体	projectile(n.);
抛射物	projectile(n.);
投射	projectile(adj.);
放映师	projectionist(n.);
投光器	projector(n.);
扁长	prolate(adj.);
预料	prolepsis(n.)|proleptic(adj.);
预辩法	prolepsis(n.);
普罗	proletarian(n.);
无产者	proletarian(n.);
出产力	prolificacy(n.);
罗说	prolixity(n.);
议长	prolocutor(n.);
代辩者	prolocutor(n.);
序言	prologue(n.);
延伸	prolongation(n.)|range(v.)|reach(n.)|reach(v.);
序乐	prolusion(n.);
骑马	promenade(n.)|promenade(v.);
突出物	prominence(n.);
允诺	promise(v.)|promises(v.);
受约人	promisee(n.);
立约人	promiser(n.);
契约者	promisor(n.);
约好	promissory(adj.);
山甲	promontory(n.);
升迁	promote(v.);
促销	promote(v.);
促进者	promoter(n.);
助长者	promoter(n.);
晋级	promotion(n.);
筹办	promotion(n.);
奖励	promotional(adj.)|promotive(adj.);
发布	promulgate(v.)|promulgation(n.);
发布者	promulgator(n.);
广传者	promulgator(n.);
内转	pronation(n.);
旋前筋	pronator(n.);
前旋肌	pronator(n.);
俯伏	prone(adj.)|proneness(n.);
平俯	prone(adj.);
叉状物	prong(n.);
乾草耙	prong(n.);
梢	prong(n.);
翻掘	prong(v.);
糜鹿	pronghorn(n.);
代名词	[文]pronoun(n.);
很快	pronto(adv.)|quickly(adv.)|soon(adv.)|swiftly(adv.);
前核	pronucleus(n.);
生殖核	pronucleus(n.);
读法	pronunciation(n.);
校对者	proofreader(n.);
倚靠人	prop(n.);
宣传者	propagandist(n.)|propagator(n.);
广传	propagation(n.);
增殖者	propagator(n.);
传教者	propagator(n.);
丙烷	propane(n.);
驱使	propel(v.)|provoke(v.);
推进器	propeller(n.);
螺旋浆	propeller(n.);
专属	proper(adj.);
所有权	property(n.)|proprietorship(n.);
前期	prophase(n.);
预言家	prophet(n.);
预防药	prophylactic(n.);
预防法	prophylactic(n.);
避孕药	prophylactic(n.);
慰抚	propitiate(v.);
安抚	propitiate(v.);
安抚人	propitiator(n.);
和解者	propitiator(n.);
建议者	proponent(n.);
比例	proportion(n.)|proportion(v.)|proportional(adj.)|proportionality(n.)|proportionment(n.)|[数]ratio(n.);
比例项	proportional(n.);
相称	proportional(adj.)|proportionate(adj.)|proportionment(n.);
均整	proportionality(n.);
提案人	proposer(n.);
命题	proposition(n.);
所有者	proprietor(n.);
规矩	propriety(n.);
丙烷基	propyl(n.);
丙基	propyl(n.);
丙烯	propylene(n.);
散文	prosaic(adj.)|prose(n.)|prosy(adj.);
散文体	prosaism(n.)|prosily(adv.)|prosiness(n.);
前舞台	proscenium(n.);
幕装置	proscenium(n.);
起诉	prosecute(v.)|prosecution(n.);
使改宗	proselytize(v.);
研讨会	proseminar(n.)|workshop(n.);
散文家	proser(n.);
没趣	prosiness(n.);
诗体论	prosody(n.);
韵律学	prosody(n.);
拟声法	prosopopoeia(n.);
展望	prospect(n.)|vista(n.);
探勘	prospect(v.);
寻找	prospect(v.)|quest(v.)|seek(n.)|seek(v.)|sought(v.)|sought(v.);
采矿者	prospector(n.);
探勘者	prospector(n.);
兴隆	prosper(v.);
顺列	prosperous(adj.);
弥补科	prosthetics(n.);
镶牙学	prosthodontia(n.);
男娼	prostitute(n.);
倒下	prostrate(adj.);
降伏	prostrate(adj.);
伏地	prostrate(adj.);
弄倒	prostrate(v.);
跪倒	prostration(n.);
金朴	protactinium(n.);
主演	protagonist(n.);
主唱者	protagonist(n.);
保护者	protector(n.)|tutelary(n.);
保护物	protector(n.);
摄政	protectorate(n.)|regent(n.)|regent(adj.);
原生	proterozoic(n.);
抗议	protest(n.)|protest(v.)|remonstrance(n.)|remonstrant(adj.)|remonstration(n.)|remonstrative(adj.);
新教	protestant(n.)|protestant(adj.)|protestantism(n.);
新教徒	protestant(n.);
原叶体	prothallium(n.)|prothallus(n.);
前胸	prothorax(n.);
凝血素	prothrombin(n.);
质子	proton(n.);
原丝体	protonema(n.);
丝状体	protonema(n.);
原形质	[生]protoplasm(n.);
原生物	protoplast(n.);
原人	protoplast(n.);
原尺	prototype(n.)|standard(n.);
初型	prototype(n.);
托长	protract(v.);
拖长	protraction(n.);
伸肌	protractor(n.);
推出	protrusion(n.)|protrusive(adj.);
露出	protrusion(n.);
押住	protrusive(adj.);
结节	protuberance(n.)|tuber(n.)|tubercle(n.)|tuberosity(n.);
供应	provide(v.)|provision(n.)|purvey(v.)|purveyance(n.)|supply(v.);
天理	providential(adj.);
供给者	provider(n.);
装设者	provider(n.);
养家者	provider(n.);
省	province(n.);
求证	proving(v.);
暂定	provisional(adj.);
暂时性	provisionality(adv.);
临时性	provisionality(adv.);
挑拨	provocation(n.)|provocative(adj.);
挑拨物	provocative(n.);
兴奋剂	provocative(n.);
气人	provocative(adj.);
船首	prow(n.)|stem(n.);
徘徊者	prowler(n.)|wanderer(n.);
近位	proximal(adj.);
紧邻	proximate(adj.);
取代物	proxy(n.);
审慎	prudence(n.)|prudent(adj.)|welladvised(adj.);
细心	prudential(adj.)|scrupulosity(n.);
明辨	prudential(adj.);
装规矩	prudery(n.);
乾梅子	prune(n.);
梅乾	prune(n.);
砍掉	prune(v.);
修枝	pruning(n.);
剪枝	pruning(n.);
淫乱	prurient(adj.);
痒疹	prurigo(n.);
搔痒症	pruritic(adj.)|pruritus(n.);
普鲁士	prussia(n.);
氢酸盐	prussiate(n.);
打听	pry(v.);
窥探	pry(v.);
窥看者	pryer(n.);
探问者	pryer(n.);
圣诗	psalm(n.);
诗篇	psalm(n.)|psalter(n.);
诗篇集	psalter(n.);
选举学	psephology(n.);
冒充	pseudo(adj.);
假果	pseudocarp(n.);
假码	pseudocode(n.);
伪书	pseudograph(n.);
伪作	pseudograph(n.);
伪笔	pseudograph(n.);
假说明	pseudoinstruction(n.);
笔名	pseudonym(n.);
假足	pseudopod(n.)|pseudopodium(n.);
虚足	pseudopod(n.)|pseudopodium(n.);
假程式	pseudoprogram(n.);
假散乱	pseudorandom(n.);
假科学	pseudoscience(n.);
伪科学	pseudoscience(n.);
反影镜	pseudoscope(n.);
鹦鹉病	psittacosis(n.);
赛克	[P-]psyche(n.);
迷幻剂	psychedelic(n.);
巫女	psychic(n.);
灵媒	psychic(n.);
心理剧	psychodrama(n.);
意志力	psychokinesis(n.)|volition(n.)|willpower(n.);
心理学	psychology(n.);
翼龙	pterodactyl(n.)|pterosaur(n.);
下垂症	ptosis(n.);
唾液素	ptyalin(n.);
思春期	puberty(n.);
阴毛	pubes(n.)|pubic(adj.);
阴部	pubes(n.)|pubic(adj.);
妙龄	pubescent(adj.);
耻骨	pubic(adj.)|pubis(n.);
公众	public(n.)|public(adj.);
公共	public(adj.);
公立	public(adj.);
出版物	publication(n.);
舆论上	publicly(adv.);
以公费	[罕]publicly(adv.);
出版者	publisher(n.);
发行人	publisher(n.);
深褐色	puce(n.);
巴克	puck(n.);
布丁	pudding(n.);
水池	puddle(n.);
捣泥者	puddler(n.);
炼铁器	puddler(n.);
制窑泥	puddling(n.);
窑泥	puddling(n.);
炼铁	puddling(n.);
羞怯	pudency(n.)|sheepish(adj.)|shyly(adv.)|shyness(n.)|timid(adj.)|timidly(n.)|timorous(adj.);
膨松	pudgy(adj.);
产後期	puerperium(n.);
尘菌	puffball(n.);
羽状实	puffball(n.);
胀大	puffy(adj.);
肥满	puffy(adj.)|stoutness(n.);
拳击家	pugilist(n.);
好斗	pugnacious(adj.)|pugnacity(n.);
势	puissance(n.);
权力	puissance(n.);
强力	puissant(adj.);
强盛	puissant(adj.);
呕吐物	puke(n.);
吐剂	puke(n.)|vomitive(n.);
吐	puke(v.)|spew(v.);
拉	pull(n.)|pull(v.);
拔	pull(v.)|unplug(v.);
拉回	pullback(n.);
阻扰	pullback(n.);
拉的人	puller(n.);
招待员	pullerin(n.)|steward(n.)|usher(n.);
小母鸡	pullet(n.);
滑车	pulley(n.)|trochlea(n.);
滑轮	pulley(n.);
带轮	pulley(n.);
卧车	pullman(n.);
绒线上	pullover(n.);
抽芽	pullulate(v.);
纸浆	pulp(n.);
纸浆质	pulpiness(n.);
果肉性	pulpiness(n.);
讲道坛	pulpit(n.);
传教师	pulpiteer(n.);
搏动	pulsate(v.);
悸动	pulsate(v.)|pulsatile(adj.)|pulsation(n.)|throb(n.)|throb(v.);
脉动	pulsatile(adj.);
脉博	pulsation(n.)|pulses(n.)|sphygmus(n.);
震动器	pulsator(n.);
圆形泵	pulsator(n.)|pulsemeter(n.);
脉波	pulse(n.)|pulses(n.);
脉搏	pulse(n.)|throb(n.);
脉跳	pulse(v.);
脉博计	pulsimeter(n.);
磨粉	pulverizatio(n.)|pulverize(adj.);
弄成粉	pulverization(n.)|triturate(v.);
磨成粉	pulverize(v.);
粉碎机	pulverizer(n.);
粉碎者	pulverizer(n.);
美洲狮	puma(n.);
轻石	pumiceous(adj.);
抽水机	pump(n.);
打气筒	pump(n.);
泵	pump(n.);
抽泵	pumping(n.);
南瓜	pumpkin(n.);
双关语	pun(n.)|quirk(n.);
押韵	pun(n.)|rhyme(n.)|rhyme(v.)|rhyming(n.)|scan(n.);
打洞器	punch(n.);
冲床	puncher(n.);
冲屑	punchings(n.)|stampings(n.);
准时	punctual(adj.);
弄时	punctual(adj.);
标点	punctuation(n.);
梵学者	pundit(n.);
摆子	pundulum(n.);
弱小	puniness(n.);
处罚	punish(v.)|punishment(n.)|sanction(n.);
可罚	punishable(adj.);
处罚者	punisher(n.);
惩罚者	punisher(n.);
撑船	punt(n.);
铁棒	punty(n.);
幼兽	pup(n.);
蛹的	pupal(adj.);
产蛹	pupiparous(adj.);
木偶	puppet(n.)|puppetry(n.);
半盲	purblind(adj.);
购买	purchase(n.)|purchase(v.)|purchased(v.)|purchasing(v.);
购买品	purchase(n.);
购买者	purchaser(n.);
窗帘	purdah(n.);
帷幕	purdah(n.);
贞淑	purely(adv.);
清净	pureness(n.)|purged(v.);
泻剂	purgative(n.);
炼狱	purgatorial(adj.);
涤罪	purgatorial(adj.)|purificatory(adj.);
整肃	purge(n.)|purge(v.);
泻	purge(v.);
精制	purificatory(adj.);
清洁者	purifier(n.);
制造者	purifier(n.)|wright(n.);
净化器	purifier(n.)|purifiers(n.);
净化剂	purifiers(n.);
清教徒	puritan(n.);
清教	puritanism(n.);
碳酸钠	purite(n.);
倒落	purler(n.);
盗取	purloin(v.);
大要	purport(n.);
意味着	purport(v.);
紫斑	purpuric(adj.);
小钱袋	purse(n.);
满钱袋	purseful(n.);
事务长	purser(n.);
主计官	purser(n.);
马齿苋	purslane(n.);
追捕	pursue(v.);
追赶者	pursuer(n.);
追求者	pursuer(n.);
追赶	pursuit(n.);
脓的	purulent(adj.);
承办商	purveyor(n.);
脓	pus(n.);
脓汁	pus(n.);
推	push(n.)|push(v.)|shove(n.)|shoving(v.)|trundle(v.);
奋力	push(n.);
推球	pushball(n.);
该球	pushball(n.);
推者	pusher(n.);
後推	pusher(n.);
闲差事	pushover(n.);
图钉	pushpin(n.)|sprig(n.)|stud(n.)|thumbtack(n.);
无气力	pusillanimity(n.)|tameness(n.);
胆怯	pusillanimity(n.)|shy(adj.)|shyly(adv.)|shyness(n.)|timidly(n.)|timorous(adj.);
脓泡	pustular(adj.)|pustule(n.);
生脓泡	pustulate(v.)|pustulation(n.);
内果皮	putamen(n.);
硬膜	putamen(n.);
推定	putative(adj.);
腐败物	putrefaction(n.);
布绑腿	puttee(n.);
皮绑腿	puttee(n.);
置放者	putter(n.);
油灰	putty(n.);
肾盂炎	pyelitis(n.);
侏儒	pygmean(adj.)|pygmy(n.);
小妖精	pygmy(n.);
派龙	pylon(n.);
幽门	pyloric(adj.)|pylorus(n.);
幽门部	pylorus(n.);
